Row Labels,Sum of Amount spent (USD),Sum of Purchases
C071_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG-story_Retargeting_IStory_lifestyle-10off-spg,3.25,
G082_UK_2204_APP_Con_Traffic_Interest_Static_lower-tract-app,127.39,
C071_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG-story_Retargeting_IStory_free-lubricant-spg,4.33,
C108_UK_2205_MLP_Cov_AddtoCart-APP&SPG_Interest_Vid06s_mid-year-sale-spg,74.83,
C071_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG-story_Retargeting_IStory_apr-offer-app,15.85,
C030_SG_2202_APP_Cov_Purchase_Retargeting_Static_baby-making-sun-shop,0.21,
C071_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG-story_Lookalike_IStory_trying-for-a-baby-spg,77.96,
C030_SG_2202_APP_Cov_Purchase_Lookalike_Vid06s_feb22-169-shop,21.14,
C071_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG-story_Lookalike_IStory_lifestyle-10off-spg,8.83,
C108_UK_2205_MLP_Cov_AddtoCart-APP&SPG_Interest_Vid06s_free-lubricant-spg,2.39,
C071_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG-story_Lookalike_IStory_free-lubricant-spg,76.31,
C030_SG_2202_APP_Cov_Purchase_Interest_Static_baby-making-sun-shop,0.71,
C071_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG-story_Lookalike_IStory_apr-offer-app,35.39,
C108_UK_2205_MLP_Cov_AddtoCart-APP&SPG_Interest_Static_may22-app,83.97,
C071_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG-story_Interest_IStory_trying-for-a-baby-spg,121.87,
C106_UK_2205_MLP_Cov_Purchase-APP&SPG_Lookalike_Vid06s_free-lubricant-spg,0,
C071_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG-story_Interest_IStory_lifestyle-10off-spg,38.59,
C106_UK_2205_MLP_Cov_Purchase-APP&SPG_Lookalike_Static_teoh-app,0.58,
C119_UK_2206_MLP_Cov_Purchase-APP&SPG_Interest_Vid06s_mid-year-sale-spg,222.04,
C106_UK_2205_MLP_Cov_Purchase-APP&SPG_Lookalike_Static_may22-app,118.66,
C071_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG-story_Interest_IStory_apr-offer-app,57.18,
C022_SG_2201_APP_Con_Traffic_Interest_Static_how-it-work-dec,191.82,
C070_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG_Retargeting_Vid06s_free-lubricant-spg,5.78,
C106_UK_2205_MLP_Cov_Purchase-APP&SPG_Lookalike_Static_kate-spg,3.71,
C070_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG_Retargeting_Vid06s_apr-offer-app,14.81,
A005_SG_2201_APP_Awa_Reach_Interest_Static_why-you-need-timed,63.87,
C070_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG_Retargeting_Static_teoh-price-tag-app,12.72,
2112_UK_APP_Consideration_how-it-work,14.96,
C070_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG_Retargeting_Static_kate-price-tag-spg,46.01,
2112_SG_APP_Conversions_dec-promo,78.38,
C070_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG_Retargeting_Static_finding-way-price-tag-spg,4.5,
2112_SG_APP_Consideration_how-it-work,142.77,
C070_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG_Lookalike_Vid06s_free-lubricant-spg,8.04,
C070_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG_Lookalike_Vid06s_apr-offer-app,77.28,
Grand Total,153542.59,1741
