Row Labels,Sum of Amount spent (USD),Sum of Purchases
C104_UK_2205_MLP_Cov_Purchase-Retargeting-Only-Other-Cities-APP&SPG_Retargeting_Static_jun-promo,355.89,3
Vid06s_new-applicator-v1-app,521.39,3
C085_SG_2204_MLP_Cov_Purchase-APP&SPG_Interest_Vid06s_apr-offer-app,290.51,3
Static_blackfridaysale-savexx-diyconceptionkit-app-coq10,551.93,3
Static_getpregnantwosex-lifestyle-wpdt-app,867.92,3
Vid06s_festivecny-multiply-app,278.57,3
C131_UK_2207_MLP_Cov_Purchase-Retargeting-Only-L5M-Converted-Cities-APP&SPG_Retargeting_Static_teoh-price-tag-app,415.01,3
Static_2ndbaby_afford-app,339.6,3
C030_SG_2202_APP_Cov_Purchase_Lookalike_Vid06s_feb22-sq-shop,164.8,2
C108_UK_2205_MLP_Cov_AddtoCart-APP&SPG_Interest_Vid06s_lubricant-trying-baby-spg,29.6,2
C104_UK_2205_MLP_Cov_Purchase-Retargeting-Only-Other-Cities-APP&SPG_Retargeting_Static_kate-price-tag-spg,729.19,2
C103_SG_2205_MLP_Cov_Purchase-APP&SPG-story_Retargeting_IStory_trying-for-a-baby-spg,162.26,2
Static_schedule-app,114.79,2
Carousel_lifestyle-clinicvbedroom-app,295.86,2
C086_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Interest_IStory_free-lubricant-spg,34.32,2
Vid30_Inclusivity_sg-app(voice),369.61,2
C022_SG_2201_APP_Con_Traffic_Interest_Static_why-you-need-hurt,482.96,2
C083_SG_2204_APP_Con_Traffic_Interest_Static_fruit-app,515.46,2
C038_UK_2202_APP_Cov_Purchase_Retargeting_Vid06s_feb22-169-shop,41.48,2
C119_UK_2206_MLP_Cov_Purchase-APP&SPG_Interest_Vid06s_want-to-start-pink-spg,148.94,2
C030_SG_2202_APP_Cov_Purchase_Retargeting_Vid06s_feb22-sq-shop,129.71,2
C061_SG_2203_APP_Con_Traffic_Interest_Static_baby-making-nervous-CHI,385.36,2
C015_SG_2201_APP_Cov_Purchase_Interest_Static_jan22-shop,72.95,2
C054_SG_2203_APP_Cov_Purchase-Story_Retargeting_IStory_mar22-sq-shop,65.96,2
C139_UK_2208_MLP_Cov_Purchase-Retargeting-Only_Retargeting_Static_teoh-price-tag-app,175.4,2
Carousel_comparison-app,214.37,2
Static_Chi_sg-app(no voice),137.22,2
C053_SG_2203_APP_Cov_Purchase_Retargeting_Vid06s_mar22-sq-shop,114.75,2
C085_SG_2204_MLP_Cov_Purchase-APP&SPG_Lookalike_Vid06s_apr-offer-app,251.72,2
C040_SG_2202_APP_Cov_Purchase-Story_Retargeting_Static_baby-making-sun-shop,14.69,2
C140_UK_2208_MLP_Cov_Purchase_Lookalike_Vid06s_soft-tip-app,362.01,2
Static_lessstress_mal-app,216.87,1
C035_SG_2202_APP_Con_Traffic_Interest_Static_why-you-need-hurt,329.19,1
C108_UK_2205_MLP_Cov_AddtoCart-APP&SPG_Lookalike_Static_may22-app,65.02,1
Vid30_Inclusivity_uk-app(no voice),219.29,1
C089_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Interest_IStory_apr22-app,57.76,1
C104_UK_2205_MLP_Cov_Purchase-Retargeting-Only-Other-Cities-APP&SPG_Retargeting_Static_nur-price-tag-app,338.63,1
C105_UK_2205_MLP_Cov_Purchase-Retargeting-Only-L5M-Converted-Cities-APP&SPG_Retargeting_Static_jun-promo,152.66,1
Static_postcodelottery-app,209.06,1
C038_UK_2202_APP_Cov_Purchase_Interest_Vid06s_feb22-sq-shop,383.26,1
Static_2ndbaby_time_v1-app,195.23,1
C035_SG_2202_APP_Con_Traffic_Interest_Static_baby-making-nervous-CHI,333.36,1
Vid06_breakglass(wo)-app,228.63,1
C026_SG_2201_APP_Cov_Purchase_Interest_Static_jan22-shop,283.85,1
C103_SG_2205_MLP_Cov_Purchase-APP&SPG-story_Lookalike_IStory_trying-for-a-baby-spg,112.76,1
C086_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Interest_IStory_apr22-app,40.95,1
C071_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG-story_Interest_IStory_free-lubricant-spg,76.84,1
G063_UK_2203_APP_Con_Traffic_Interest_Static_lower-tract-app,398.27,1
C067_SG_2203_APP_Cov_Purchase-Story_Retargeting_IStory_mar22-sq-shop,2.88,1
C101_SG_2205_MLP_Cov_Purchase-Retargeting-Only-APP&SPG_Retargeting_Static_kate-price-tag-spg,69.56,1
C061_SG_2203_APP_Con_Traffic_Interest_Static_lower-tract-app,326.66,1
C108_UK_2205_MLP_Cov_AddtoCart-APP&SPG_Interest_Vid06s_want-to-start-pink-spg,35.86,1
C119_UK_2206_MLP_Cov_Purchase-APP&SPG_Lookalike_Static_jun-promo,27.15,1
C035_SG_2202_APP_Con_Traffic_Interest_Static_baby-making-nervous-ENG,171.7,1
G082_UK_2204_APP_Con_Traffic_Interest_Static_fruit-app,146.12,1
C089_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Retargeting_IStory_trying-for-a-baby-spg,42.45,1
C054_SG_2203_APP_Cov_Purchase-Story_Lookalike_IStory_baby-making-shop,202.9,1
C086_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Retargeting_IStory_trying-for-a-baby-spg,53.55,1
C102_SG_2205_MLP_Cov_Purchase-APP&SPG_Lookalike_Vid06s_may-offer-app,103.04,1
C086_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Lookalike_IStory_trying-for-a-baby-spg,42.76,1
C119_UK_2206_MLP_Cov_Purchase-APP&SPG_Interest_Static_jun-promo,231.27,1
Static_testimonial-menPOV-thankful-app-alter2,334.67,1
C053_SG_2203_APP_Cov_Purchase_Interest_Vid06s_mar22-sq-shop,446.54,1
Static_performanceanxiety-app,74.56,1
C053_SG_2203_APP_Cov_Purchase_Interest_Static_baby-making-sun-shop,8.73,1
C104_UK_2205_MLP_Cov_Purchase-Retargeting-Only-Other-Cities-APP&SPG_Retargeting_Vid30s_what-SPG-how-it-work-spg,64.96,1
C052_UK_2203_APP_Cov_Purchase-Story_Interest_Vid06s_feb22-sq-shop,77.62,1
C140_UK_2208_MLP_Cov_Purchase_Lookalike_Static_schedule-app,521,1
C103_SG_2205_MLP_Cov_Purchase-APP&SPG-story_Lookalike_IStory_may22-app,26.63,1
C053_SG_2203_APP_Cov_Purchase_Retargeting_Static_baby-making-sun-shop,1.75,
2112_SG_APP_Consideration_why-you-need-it,136.96,
C035_SG_2202_APP_Con_Traffic_Interest_Static_not-in-the-mood,1.72,
C106_UK_2205_MLP_Cov_Purchase-APP&SPG_Interest_Static_teoh-app,0.74,
C066_SG_2203_APP_Cov_Purchase_Retargeting_Vid06s_mar22-sq-shop,34.62,
C106_UK_2205_MLP_Cov_Purchase-APP&SPG_Interest_Static_may22-app,41.14,
C040_SG_2202_APP_Cov_Purchase-Story_Lookalike_Static_baby-making-sun-shop,11.61,
C106_UK_2205_MLP_Cov_Purchase-APP&SPG_Interest_Static_kate-spg,4.63,
C108_UK_2205_MLP_Cov_AddtoCart-APP&SPG_Interest_Static_kate-spg,52.07,
C105_UK_2205_MLP_Cov_Purchase-Retargeting-Only-L5M-Converted-Cities-APP&SPG_Retargeting_Vid30s_what-SPG-how-it-work-spg,26.71,
C070_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG_Interest_Static_kate-price-tag-spg,230.51,
Static_hands-ivfiuicycles-app-alter,2.55,
C119_UK_2206_MLP_Cov_Purchase-APP&SPG_Interest_Static_quiz-feb-app,160.36,
Static_takepressureoff_uk-app(no voice),88.64,
